slug,title,thumbnail_path,thumbnail_status,topic,manual_action
chen-2016-sige,SiGe/h-BN heterostructure with inspired electronic and optical properties: a first-principles study,/media/publications/chen-2016-sige/publication-thumbnail.png,real,Interfaces and Heterostructures,
jiang-2016-graphane,Graphane/fully hydrogenated h-BN bilayer: Marvellous dihydrogen bonding and effective band structure engineering,/media/publications/jiang-2016-graphane/publication-thumbnail.png,real,Interfaces and Heterostructures,
chen-2016-functionalization,Functionalization-induced changes in the structural and physical properties of amorphous polyaniline: a first-principles and molecular dynamics study,/media/publications/chen-2016-functionalization/publication-thumbnail.png,real,Molecular Dynamics,
yang-2016-first,First-principles study of sulfur dioxide sensor based on phosphorenes,/media/publications/yang-2016-first/publication-thumbnail.png,real,Oxides and Catalysis,
sun-2016-first,First-principles study of gas adsorption on indium nitride monolayer as gas sensor applications,/media/publications/sun-2016-first/publication-thumbnail.png,real,Electronic Structure,
liang-2016-electronic,Electronic properties and work functions of silicane/fully hydrogenated h-BN and silicane/graphane nanosheets,/media/publications/liang-2016-electronic/publication-thumbnail.png,real,Electronic Structure,
chen-2016-electrical,Electrical and optical properties of germanene on single-layer BeO substrate,/media/publications/chen-2016-electrical/publication-thumbnail.png,real,Interfaces and Heterostructures,
xianping-2016-electrical,Electrical and Optical Properties of Germanene on Single-Layer BeO Substrate,/media/publications/xianping-2016-electrical/publication-thumbnail.png,real,Interfaces and Heterostructures,
chen-2016-effect,"Effect of multilayer structure, stacking order and external electric field on the electrical properties of few-layer boron-phosphide",/media/publications/chen-2016-effect/publication-thumbnail.png,real,Low-Dimensional Materials,
meng-2016-design,Design of graphene-like gallium nitride and WS 2/WSe 2 nanocomposites for photocatalyst applications,/media/publications/meng-2016-design/publication-thumbnail.png,real,Oxides and Catalysis,
tan-2016-alas,An AlAs/germanene heterostructure with tunable electronic and optical properties via external electric field and strain,/media/publications/tan-2016-alas/publication-thumbnail.png,real,Interfaces and Heterostructures,
yang-2016-aln,AlN/BP heterostructure photocatalyst for water splitting,/media/publications/yang-2016-aln/publication-thumbnail.png,real,Interfaces and Heterostructures,
chen-2016-ab,Ab initio study of the adsorption of small molecules on stanene,/media/publications/chen-2016-ab/publication-thumbnail.png,real,Low-Dimensional Materials,
xianping-2016-ab,Ab Initio Study of the Adsorption of Small Molecules on Stanene,/media/publications/xianping-2016-ab/publication-thumbnail.png,real,Low-Dimensional Materials,
chen-2015-molecular,Molecular Modeling of pH-Dependent Properties of Emeraldine Base Polyaniline for pH-Based Chemical Sensors,/media/publications/chen-2015-molecular/publication-thumbnail.png,real,Electronic Structure,
liang-2015-molecular,Molecular modeling design of polyaniline as carbon dioxide sensor,/media/publications/liang-2015-molecular/publication-thumbnail.png,real,Oxides and Catalysis,
ni-2015-gas,Gas adsorption on graphene with different layers: A first-principles study,/media/publications/ni-2015-gas/publication-thumbnail.png,real,Electronic Structure,
chen-2015-first,First-principles study of the effect of functional groups on polyaniline backbone,/media/publications/chen-2015-first/publication-thumbnail.png,real,Low-Dimensional Materials,
chen-2015-ab,"Ab InitioStudy of Temperature, Humidity, and Covalent Functionalization-Induced Bandgap Change of Single-Walled Carbon Nanotubes",/media/publications/chen-2015-ab/publication-thumbnail.png,real,Photovoltaics and Optoelectronics,
jiang-2015-ab,Ab initio studies of the differences in the chemical reactivity and electronic properties of polyaniline and its derivatives,/media/publications/jiang-2015-ab/publication-thumbnail.png,real,Electronic Structure,
